XAl,XFe,a-Al(A1),a-Fe-alpha(A2)
0.8799999999999999,0.12000000000000009,0.99995948,1.73272e-07
0.8789999999999999,0.1210000000000001,0.99995948,1.73272e-07
0.8779999999999999,0.1220000000000001,0.99995948,1.73272e-07
0.8769999999999999,0.1230000000000001,0.99995948,1.73272e-07
0.8759999999999999,0.1240000000000001,0.99995948,1.73272e-07
0.8749999999999999,0.12500000000000008,0.99995948,1.73272e-07
0.8739999999999999,0.12600000000000008,0.99995948,1.73272e-07
0.8729999999999999,0.12700000000000009,0.99995948,1.73272e-07
0.8719999999999999,0.12800000000000009,0.99995948,1.73272e-07
0.8709999999999999,0.1290000000000001,0.99995948,1.73272e-07
0.8699999999999999,0.1300000000000001,0.99995948,1.73272e-07
0.8689999999999999,0.1310000000000001,0.99995948,1.73272e-07
0.8679999999999999,0.1320000000000001,0.99995948,1.73272e-07
0.8669999999999999,0.1330000000000001,0.99995948,1.73272e-07
0.8659999999999999,0.1340000000000001,0.99995948,1.73272e-07
0.8649999999999999,0.1350000000000001,0.99995948,1.73272e-07
0.8639999999999999,0.1360000000000001,0.99995948,1.73272e-07
0.8629999999999999,0.1370000000000001,0.99995948,1.73272e-07
0.8619999999999999,0.1380000000000001,0.99995948,1.73272e-07
0.8609999999999999,0.1390000000000001,0.99995948,1.73272e-07
0.8599999999999999,0.1400000000000001,0.99995948,1.73272e-07
0.8589999999999999,0.1410000000000001,0.99995948,1.73272e-07
0.8579999999999999,0.1420000000000001,0.99995948,1.73272e-07
0.8569999999999999,0.1430000000000001,0.99995948,1.73272e-07
0.8559999999999999,0.1440000000000001,0.99995948,1.73272e-07
0.8549999999999999,0.1450000000000001,0.99995948,1.73272e-07
0.8539999999999999,0.1460000000000001,0.99995948,1.73272e-07
0.8529999999999999,0.1470000000000001,0.99995948,1.73272e-07
0.8519999999999999,0.1480000000000001,0.99995948,1.73272e-07
0.8509999999999999,0.1490000000000001,0.99995948,1.73272e-07
0.8499999999999999,0.1500000000000001,0.99995948,1.73272e-07
0.8489999999999999,0.1510000000000001,0.99995948,1.73272e-07
0.8479999999999999,0.1520000000000001,0.99995948,1.73272e-07
0.8469999999999999,0.1530000000000001,0.99995948,1.73272e-07
0.8459999999999999,0.1540000000000001,0.99995948,1.73272e-07
0.8449999999999999,0.1550000000000001,0.99995948,1.73272e-07
0.8439999999999999,0.1560000000000001,0.99995948,1.73272e-07
0.8429999999999999,0.1570000000000001,0.99995948,1.73272e-07
0.8419999999999999,0.1580000000000001,0.99995948,1.73272e-07
0.8409999999999999,0.1590000000000001,0.99995948,1.73272e-07
0.8399999999999999,0.16000000000000011,0.99995948,1.73272e-07
0.8389999999999999,0.16100000000000012,0.99995948,1.73272e-07
0.8379999999999999,0.16200000000000012,0.99995948,1.73272e-07
0.8369999999999999,0.16300000000000012,0.99995948,1.73272e-07
0.8359999999999999,0.16400000000000012,0.99995948,1.73272e-07
0.8349999999999999,0.16500000000000012,0.99995948,1.73272e-07
0.8339999999999999,0.16600000000000012,0.99995948,1.73272e-07
0.8329999999999999,0.16700000000000012,0.99995948,1.73272e-07
0.8319999999999999,0.16800000000000012,0.99995948,1.73272e-07
0.8309999999999998,0.16900000000000012,0.99995948,1.73272e-07
0.8299999999999998,0.17000000000000012,0.99995948,1.73272e-07
0.8289999999999998,0.17100000000000012,0.99995948,1.73272e-07
0.8279999999999998,0.17200000000000013,0.99995948,1.73272e-07
0.8269999999999998,0.17300000000000013,0.99995948,1.73272e-07
0.8259999999999998,0.17400000000000013,0.99995948,1.73272e-07
0.8249999999999998,0.17500000000000013,0.99995948,1.73272e-07
0.8239999999999998,0.17600000000000013,0.99995948,1.73272e-07
0.8229999999999998,0.17700000000000013,0.99995948,1.73272e-07
0.8219999999999998,0.17800000000000013,0.99995948,1.73272e-07
0.8209999999999998,0.17900000000000013,0.99995948,1.73272e-07
0.8199999999999998,0.18000000000000013,0.99995948,1.73272e-07
