;;900°C;;650°C;
XAl;XFe;Fe;Al;Fe;Al
0.572;0.428;0.053000;0.121682;0.027617;0.032516
0.571;0.429;0.053000;0.121682;0.027617;0.032516
0.57;0.43;0.053000;0.121682;0.027617;0.032516
0.569;0.431;0.053000;0.121682;0.027617;0.032516
0.568;0.432;0.053000;0.121682;0.027617;0.032516
0.567;0.433;0.053000;0.121682;0.027617;0.032516
0.566;0.434;0.053000;0.121682;0.027617;0.032516
0.565;0.435;0.053000;0.121682;0.027617;0.032516
0.564;0.436;0.053000;0.121682;0.027617;0.032516
0.563;0.437;0.053000;0.121682;0.027617;0.032516
0.562;0.438;0.053000;0.121682;0.027617;0.032516
0.561;0.439;0.053000;0.121682;0.027617;0.032516
0.56;0.44;0.053000;0.121682;0.027617;0.032516
0.559;0.441;0.053000;0.121682;0.027617;0.032516
0.558;0.442;0.053000;0.121682;0.027617;0.032516
0.557;0.443;0.053000;0.121682;0.027617;0.032516
0.556;0.444;0.053000;0.121682;0.027617;0.032516
0.555;0.445;0.053000;0.121682;0.027617;0.032516
0.554;0.446;0.053000;0.121682;0.027617;0.032516
0.553;0.447;0.053000;0.121682;0.027617;0.032516
0.552;0.448;0.053000;0.121682;0.027617;0.032516
0.551;0.449;0.053000;0.121682;0.027617;0.032516
0.55;0.45;0.053000;0.121682;0.027617;0.032516
0.549;0.451;0.053000;0.121682;0.027617;0.032516
0.548;0.452;0.053000;0.121682;0.027617;0.032516
0.547;0.453;0.053000;0.121682;0.027617;0.032516
0.546;0.454;0.053000;0.121682;0.027617;0.032516
0.545;0.455;0.053000;0.121682;0.027617;0.032516
0.544;0.456;0.053000;0.121682;0.027617;0.032516
0.543;0.457;0.053000;0.121682;0.027617;0.032516
0.542;0.458;0.053000;0.121682;0.027617;0.032516
0.541;0.459;0.053000;0.121682;0.027617;0.032516
0.54;0.46;0.053000;0.121682;0.027617;0.032516
0.539;0.461;0.053000;0.121682;0.027617;0.032516
0.538;0.462;0.053000;0.121682;0.027617;0.032516
0.537;0.463;0.053000;0.121682;0.027617;0.032516
0.536;0.464;0.053000;0.121682;0.027617;0.032516
0.535;0.465;0.053000;0.121682;0.027617;0.032516
0.534;0.466;0.053000;0.121682;0.027617;0.032516
0.533;0.467;0.053000;0.121682;0.027617;0.032516
0.532;0.468;0.053000;0.121682;0.027617;0.032516
0.531;0.469;0.053000;0.121682;0.027617;0.032516
0.53;0.47;0.053000;0.121682;0.027617;0.032516
0.529;0.471;0.053000;0.121682;0.027617;0.032516
0.528;0.472;0.053000;0.121682;0.027617;0.032516
0.527;0.473;0.053000;0.121682;0.027617;0.032516
0.526;0.474;0.053000;0.121682;0.027617;0.032516
0.525;0.475;0.053000;0.121682;0.027617;0.032516
0.524;0.476;0.053000;0.121682;0.027617;0.032516
0.523;0.477;0.053000;0.121682;0.027617;0.032516
0.522;0.478;0.053000;0.121682;0.027617;0.032516
0.521;0.479;0.053000;0.121682;0.027617;0.032516
0.52;0.48;0.053000;0.121682;0.027617;0.032516
0.519;0.481;0.053000;0.121682;0.027617;0.032516
0.518;0.482;0.053000;0.121682;0.027617;0.032516
0.517;0.483;0.053000;0.121682;0.027617;0.032516
0.516;0.484;0.053000;0.121682;0.027617;0.032516
0.515;0.485;0.053000;0.121682;0.027617;0.032516
0.514;0.486;0.053000;0.121682;0.027617;0.032516
0.513;0.487;0.053000;0.121682;0.027617;0.032516
0.512;0.488;0.053000;0.121682;0.027617;0.032516
0.511;0.489;0.053000;0.121682;0.027617;0.032516
0.51;0.49;0.053000;0.121682;0.027617;0.032516
0.509;0.491;0.053000;0.121682;0.027617;0.032516
0.508;0.492;0.053000;0.121682;0.027617;0.032516
0.507;0.493;0.053000;0.121682;0.027617;0.032516
