XSn;aSn;XCu;aCu;Sn_ideal;Cu_ideal;;;T = 450øC
0.419;0.82293689;0.581;0.19837568;0.419;0.581;;;
0.42;0.82293689;0.58;0.19837568;0.42;0.58;;;
0.421;0.82293689;0.579;0.19837568;0.421;0.579;;;
0.422;0.82293689;0.578;0.19837568;0.422;0.578;;;
0.423;0.82293689;0.577;0.19837568;0.423;0.577;;;
0.424;0.82293689;0.576;0.19837568;0.424;0.576;;;
0.425;0.82293689;0.575;0.19837568;0.425;0.575;;;
0.426;0.82293689;0.574;0.19837568;0.426;0.574;;;
0.427;0.82293689;0.573;0.19837568;0.427;0.573;;;
0.428;0.82293689;0.572;0.19837568;0.428;0.572;;;
0.429;0.82293689;0.571;0.19837568;0.429;0.571;;;
0.43;0.82293689;0.57;0.19837568;0.43;0.57;;;
0.431;0.82293689;0.569;0.19837568;0.431;0.569;;;
0.432;0.82293689;0.568;0.19837568;0.432;0.568;;;
0.433;0.82293689;0.567;0.19837568;0.433;0.567;;;
0.434;0.82293689;0.566;0.19837568;0.434;0.566;;;
0.435;0.82293689;0.565;0.19837568;0.435;0.565;;;
0.436;0.82293689;0.564;0.19837568;0.436;0.564;;;
0.437;0.82293689;0.563;0.19837568;0.437;0.563;;;
0.438;0.82293689;0.562;0.19837568;0.438;0.562;;;
0.439;0.82293689;0.561;0.19837568;0.439;0.561;;;
0.44;0.82293689;0.56;0.19837568;0.44;0.56;;;
0.441;0.82293689;0.559;0.19837568;0.441;0.559;;;
0.442;0.82293689;0.558;0.19837568;0.442;0.558;;;
0.443;0.82293689;0.557;0.19837568;0.443;0.557;;;
0.444;0.82293689;0.556;0.19837568;0.444;0.556;;;
