XFe;aFe;Xal;aAl
0.623;0.17048171;0.377;0.028089057
0.624;0.17184431;0.376;0.02771572
0.625;0.17321469;0.375;0.027346607
0.626;0.17459285;0.374;0.02698168
0.627;0.17597882;0.373;0.0266209
0.628;0.17737261;0.372;0.026264229
0.629;0.17877424;0.371;0.02591163
0.63;0.18018371;0.37;0.025563064
0.631;0.18160104;0.369;0.0266209
0.632;0.18302626;0.368;0.026264229
0.633;0.18445936;0.367;0.02591163
0.634;0.18590036;0.366;0.025563064
0.635;0.18734929;0.365;0.025218496
0.636;0.18880614;0.364;0.024877886
0.637;0.19027093;0.363;0.024541199
0.638;0.19174369;0.362;0.024208398
0.639;0.19322441;0.361;0.023879447
0.64;0.19471311;0.36;0.023554309
0.641;0.1962098;0.359;0.023232948
0.642;0.19771449;0.358;0.022915329
0.643;0.1992272;0.357;0.022601416
0.644;0.20074794;0.356;0.022291174
0.645;0.20227672;0.355;0.021984569
0.646;0.20381354;0.354;0.021681564
0.647;0.20535841;0.353;0.021382126
0.648;0.20691136;0.352;0.021086221
0.649;0.20847239;0.351;0.020793814
0.65;0.2100415;0.35;0.020504872
0.651;0.2116187;0.349;0.020219361
0.652;0.21320402;0.348;0.019937248
0.653;0.21479744;0.347;0.019658499
0.654;0.21639899;0.346;0.019383082
0.655;0.21800867;0.345;0.019110964
0.656;0.21962649;0.344;0.018842112
0.657;0.22125246;0.343;0.018576495
0.658;0.22288658;0.342;0.018314081
0.659;0.22452885;0.341;0.018054838
0.66;0.2261793;0.34;0.017798734
0.661;0.22783792;0.339;0.017545738
0.662;0.22950472;0.338;0.017295819
0.663;0.23117971;0.337;0.017048946
0.664;0.23286288;0.336;0.016805089
0.665;0.23455426;0.335;0.016564217
0.666;0.23625383;0.334;0.0163263
0.667;0.23796162;0.333;0.016091309
0.668;0.23967761;0.332;0.015859213
0.669;0.24140182;0.331;0.015629984
0.67;0.24313424;0.33;0.015403591
0.671;0.24487489;0.329;0.015180007
0.672;0.24662377;0.328;0.014959202
0.673;0.24838087;0.327;0.014741147
0.674;0.2501462;0.326;0.014525814
0.675;0.25191977;0.325;0.014313176
0.676;0.25370157;0.324;0.014103204
0.677;0.25549161;0.323;0.013895871
0.678;0.25728988;0.322;0.013691149
0.679;0.2590964;0.321;0.013489011
0.68;0.26091115;0.32;0.013289429
0.681;0.26273414;0.319;0.013092378
0.682;0.26456537;0.318;0.01289783
0.683;0.26640484;0.317;0.012705759
0.684;0.26825255;0.316;0.012516139
0.685;0.27010849;0.315;0.012328944
0.686;0.27197267;0.314;0.012144149
0.687;0.27384509;0.313;0.011961727
0.688;0.27572573;0.312;0.011781653
0.689;0.27761461;0.311;0.011603903
0.69;0.27951171;0.31;0.011428451
0.691;0.28141703;0.309;0.011255272
0.692;0.28333058;0.308;0.011084343
0.693;0.28525233;0.307;0.010915638
0.694;0.2871823;0.306;0.010749134
0.695;0.28912048;0.305;0.010584807
0.696;0.29106685;0.304;0.010422633
0.697;0.29302143;0.303;0.010262589
0.698;0.29498419;0.302;0.010104651
